ID,Tip,Nume,Cantitate,PragAlerta,PretAchizitie,PretVanzare,VolumM3
1,Perisabile,[Perisabile] Spray Degripant Model 75,34,10,109.93,160.48,0.198
2,Hardware,Cheie Dinamometrica Model 81,127,18,265.87,344.64,0.024
3,Electronice,[Electronice] Sursa Laborator Model 49,125,12,139.98,178.58,0.124
4,Electronice,[Electronice] Osciloscop Model 29,100,7,278.52,372.31,0.105
5,Auto,Furtun Intercooler 2.0 TDI Model 84,87,5,247.5,498.05,0.04
6,Auto,Filtru Aer Model 80,21,18,256.49,491.97,0.31
7,Electronice,[Electronice] Multimetru Analogic Model 4,80,11,177.83,257.69,0.154
8,Auto,Senzor Debitmetru Model 73,74,7,90.08,127.21,0.122
9,Perisabile,[Perisabile] Spray Degripant Model 85,16,16,112.93,259.42,0.27
10,Electronice,[Electronice] Osciloscop Model 30,150,19,94.72,133.48,0.218
11,Auto,Furtun Intercooler 2.0 TDI Model 71,68,16,47.82,58.88,0.034
12,Perisabile,[Perisabile] Adeziv Industrial Model 92,58,10,257.48,490.6,0.053
13,Perisabile,[Perisabile] Solutie Curatare Frane Model 91,117,12,37.73,90.03,0.277
14,Perisabile,[Perisabile] Solutie Curatare Frane Model 95,75,5,142.4,285.06,0.366
15,Electronice,[Electronice] Multimetru Analogic Model 12,47,12,17.96,26.55,0.408
16,Hardware,Incarcator Gaz Model 88,135,19,158.54,362.93,0.111
17,Electronice,[Electronice] Multimetru Analogic Model 66,58,15,206.4,471.82,0.132
18,Perisabile,[Perisabile] Spray Degripant Model 11,123,20,87.04,166.01,0.386
19,Perisabile,[Perisabile] Adeziv Industrial Model 26,128,15,74.38,123.76,0.075
20,Perisabile,[Perisabile] Adeziv Industrial Model 72,79,19,216.17,437.86,0.354
21,Hardware,Cheie Dinamometrica Model 24,2,8,32.44,47.58,0.486
22,Auto,Set Placute Frana Model 11,22,5,81.34,102.68,0.392
23,Electronice,[Electronice] Osciloscop Model 58,42,13,73.22,110.3,0.413
24,Perisabile,[Perisabile] Adeziv Industrial Model 21,22,13,197.04,486.94,0.183
25,Auto,Filtru Aer Model 43,112,18,75.26,179.15,0.239
26,Auto,Rulment Roata Fata Model 68,28,15,113.09,181.34,0.162
27,Auto,Set Placute Frana Model 90,115,16,140.85,347.17,0.402
28,Electronice,[Electronice] Multimetru Analogic Model 33,40,17,141.33,290.96,0.21
29,Auto,Baterie 12V 70Ah Model 76,64,16,107.39,252.1,0.051
30,Auto,Baterie 12V 70Ah Model 72,26,17,105.71,253.37,0.076
31,Electronice,[Electronice] Osciloscop Model 25,17,5,198.03,300.3,0.47
32,Electronice,[Electronice] Osciloscop Model 48,53,9,139.08,233.6,0.454
33,Auto,Filtru Aer Model 25,3,12,128.84,285.91,0.369
34,Perisabile,[Perisabile] Solutie Curatare Frane Model 13,85,18,245.08,551.17,0.231
35,Perisabile,[Perisabile] Spray Degripant Model 16,17,17,174.33,285.07,0.284
36,Perisabile,[Perisabile] Spray Degripant Model 14,94,17,270.63,350.97,0.449
37,Perisabile,[Perisabile] Solutie Curatare Frane Model 12,74,9,270.48,509.55,0.398
38,Perisabile,[Perisabile] Adeziv Industrial Model 42,41,16,214.45,400.11,0.42
39,Hardware,Set Imbusuri Model 54,134,19,48.74,63.88,0.139
40,Auto,Rulment Roata Fata Model 21,81,7,109.05,222.27,0.233
41,Hardware,Cheie Dinamometrica Model 12,142,16,188.31,469.32,0.197
42,Electronice,[Electronice] Sursa Laborator Model 19,90,8,220.11,351.01,0.134
43,Auto,Baterie 12V 70Ah Model 13,115,8,297.93,675.94,0.4
44,Hardware,Set Imbusuri Model 48,130,18,272.0,465.19,0.149
45,Auto,Furtun Intercooler 2.0 TDI Model 52,13,19,16.4,21.47,0.38
46,Perisabile,[Perisabile] Solutie Curatare Frane Model 14,5,5,104.43,191.38,0.036
47,Perisabile,[Perisabile] Solutie Curatare Frane Model 87,75,11,235.35,373.08,0.319
48,Auto,Rulment Roata Fata Model 69,108,14,219.05,383.08,0.31
49,Electronice,[Electronice] Multimetru Analogic Model 78,1,15,32.52,74.96,0.356
50,Perisabile,[Perisabile] Adeziv Industrial Model 22,25,11,296.43,478.93,0.275
51,Electronice,[Electronice] Multimetru Analogic Model 99,93,7,230.73,473.69,0.162
52,Electronice,[Electronice] Sursa Laborator Model 74,100,20,93.23,196.2,0.21
53,Electronice,[Electronice] Multimetru Analogic Model 61,50,16,42.04,79.74,0.123
54,Auto,Senzor Debitmetru Model 66,68,9,99.57,162.98,0.37
55,Hardware,Cheie Dinamometrica Model 52,68,18,232.76,319.44,0.065
56,Hardware,Incarcator Gaz Model 78,53,9,216.01,436.85,0.467
57,Perisabile,[Perisabile] Solutie Curatare Frane Model 16,124,19,256.31,556.87,0.215
